audio_file_name,zero_crossing_rate,energy
classical1.wav,35019,33.268707275390625
marlene.wav,53817,52.84385299682617
hendrix.wav,62196,75.52635955810547
beatles.wav,23928,84.27090454101562
birdland.wav,77597,111.84164428710938
bigband.wav,84832,46.836524963378906
rock.wav,99739,51.00017547607422
blues.wav,48717,21.67502212524414
chaka.wav,70596,129.56329345703125
duke.wav,41366,64.9655990600586
moanin.wav,28777,45.28367233276367
loreena.wav,58421,65.14386749267578
copland.wav,66816,80.99605560302734
russo.wav,39983,68.98444366455078
bagpipe.wav,126961,51.63980484008789
tony.wav,58285,67.22075653076172
glass.wav,61242,71.1566162109375
guitar.wav,20191,33.95155334472656
narch.wav,39323,74.49569702148438
georose.wav,47689,47.038421630859375
mingus.wav,43083,117.16915130615234
brahms.wav,40438,106.81725311279297
deedee.wav,44839,77.64221954345703
canonaki.wav,76312,119.5315933227539
ballad.wav,26364,24.155385971069336
debussy.wav,47320,57.521034240722656
pop.wav,47163,93.16922760009766
corea.wav,23954,55.946800231933594
opera.wav,54182,87.68840026855469
winds.wav,48190,64.31001281738281
